Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Dietitian,Education,Increasing,High,63685.09,Associate Degree,18,7808,7908,24.79,20.65,Brazil,77.95,21.13,18.48,18.74,21,19.11
Community arts worker,Finance,Decreasing,Moderate,124148.46,PhD,5,9246,9138,49.76,65.01,Germany,42.44,58.17,61.94,61.28,65.2,62.74
Civil Service administrator,Retail,Increasing,High,136789.29,Associate Degree,11,3595,6148,99.09,34.57,China,24.37,29.78,31.94,33.65,27.2,34.16
Psychiatric nurse,Retail,Increasing,Low,55598.34,PhD,20,6916,5491,93.12,78.84,UK,42.05,78.96,72.6,81.11,78.39,76.54
"Journalist, magazine",IT,Decreasing,Moderate,111118.03,Master’s Degree,18,6739,9750,45.46,88.56,Brazil,75.92,82.84,85.98,75.11,92.29,78.96
Therapeutic radiographer,Manufacturing,Increasing,Low,115351.08,High School,15,5686,5664,41.51,56.7,Germany,29.06,50.37,59.02,57.98,54.14,59.43
Magazine journalist,Transportation,Increasing,Low,63323.87,Associate Degree,1,291,7844,79.25,17.81,Canada,40.83,15.01,15.49,9.84,14.32,16.36
Psychotherapist,Healthcare,Decreasing,Moderate,58641.56,Bachelor’s Degree,5,8442,3478,14.62,20.08,USA,38.14,12.13,19.31,18.16,21.66,18.4
Insurance risk surveyor,Retail,Decreasing,Low,101984.91,Master’s Degree,7,4568,7091,59.73,18.17,Brazil,67.42,12.13,13.63,16.91,19.17,17.59
Town planner,Retail,Increasing,Low,45339.52,Associate Degree,16,7954,1991,31.54,18.4,Germany,69.3,17.29,15.86,17.81,20.67,18.89
Meteorologist,Entertainment,Decreasing,Low,105547.23,Master’s Degree,19,2389,4789,25.38,96.95,India,77.1,90.22,95.32,95.3,93.96,92.73
IT sales professional,Healthcare,Increasing,Moderate,137115.05,Bachelor’s Degree,2,3227,681,26.52,16.53,China,69.88,17.99,13.6,10.06,14.06,14.39
"Engineer, technical sales",Education,Decreasing,High,45427.41,Bachelor’s Degree,5,9749,3320,1.36,72.49,Brazil,58.87,68.33,64.38,68.53,72.11,66.92
Air cabin crew,IT,Decreasing,Low,96207.17,PhD,4,4052,1885,16.47,3.99,Canada,46.21,0.64,0,1.12,1.24,3.3
Chemical engineer,Healthcare,Decreasing,Low,85740.1,Associate Degree,7,490,4588,18.5,90.69,Australia,35.47,91.83,90.02,94.21,90.44,93.81
Arts development officer,Education,Increasing,Low,122333.01,Associate Degree,3,326,6031,80.81,44.88,Canada,79.44,44.34,37.55,41.32,41.83,42.25
Museum/gallery conservator,Transportation,Decreasing,Moderate,81305.62,Master’s Degree,15,9258,8450,63.29,34.18,China,37.51,26.46,33.04,35,28.03,35.18
Human resources officer,Education,Decreasing,Moderate,104322.66,Associate Degree,14,2897,6673,56.11,96.55,Germany,31.44,96.67,100,94.71,88.75,89.23
Bonds trader,Retail,Decreasing,Moderate,137156.6,PhD,3,6497,9703,89.16,90.65,UK,50.82,90.87,83.47,90.99,88.73,93.5
Television/film/video producer,Finance,Decreasing,High,129824.76,High School,7,3409,3554,86.41,59.54,USA,27.36,46.65,53.52,57.45,58.69,61.14
Gaffer,Entertainment,Increasing,Low,123991.16,Master’s Degree,15,1506,761,84.33,60.57,India,74.52,51.49,57.39,58.38,64.04,68.97
English as a foreign language teacher,Manufacturing,Increasing,Low,76703.78,Associate Degree,14,3590,720,35.83,31.61,Brazil,44.12,32.33,31.56,31.03,30.57,34.14
"Programmer, applications",Transportation,Decreasing,Moderate,111102.73,High School,1,3715,8880,38.01,94.85,Australia,73.27,90.72,88.79,91.58,89.82,85.77
Museum/gallery conservator,Finance,Decreasing,Low,81882.01,PhD,16,386,7869,60.61,67.71,Germany,70.47,57.47,64.5,57.96,61.95,68.52
Patent examiner,Transportation,Decreasing,Moderate,38922.58,PhD,15,2714,6272,5.8,31.1,Canada,53.02,24.28,24.11,25.38,32,32.11
Press photographer,Manufacturing,Decreasing,Moderate,63026.89,Master’s Degree,0,6051,2461,98.77,65.77,Australia,38.68,58.87,64.28,63.74,67.02,69.41
Health and safety adviser,Healthcare,Decreasing,High,110361.86,PhD,6,1690,3103,44.46,34.58,Germany,78.41,26.3,32.53,32.34,35.8,29.44
"Psychologist, occupational",Finance,Increasing,High,56995.2,Master’s Degree,16,5411,785,63.9,8.39,China,63.02,0,2.32,3.23,5.89,3.96
"Doctor, general practice",Healthcare,Decreasing,Low,61636.03,High School,0,810,8815,74.13,92,USA,63.23,94.99,91.09,91.51,90.53,86.69
Medical technical officer,Finance,Increasing,Low,127939.6,High School,20,8235,2511,23.07,1.09,UK,63.09,0,0.24,0,0,1.56
Waste management officer,Finance,Increasing,Moderate,72192.98,Bachelor’s Degree,3,6449,5221,55.17,41.8,UK,28.64,33.63,38.18,38.62,38.62,39.26
Mental health nurse,Finance,Decreasing,Moderate,105662.57,Master’s Degree,18,4362,3024,86.01,50.69,India,78.74,46.69,47.57,44.8,49.71,46.09
Retail manager,Transportation,Increasing,Moderate,41983.83,Master’s Degree,7,8310,8379,37.87,17.8,USA,63.02,11.39,14.57,15.32,13.6,17.52
English as a second language teacher,IT,Decreasing,Moderate,131513.36,Associate Degree,2,2913,2682,53.03,89.94,India,22.35,81.66,88.4,87.2,82.18,89.21
Immigration officer,Finance,Decreasing,Low,79930.34,Bachelor’s Degree,8,5066,1454,27.71,11.68,USA,76.77,6.06,8.46,9.88,10.91,9.06
"Development worker, international aid",Transportation,Decreasing,High,31429.03,High School,11,370,7616,39.69,79.08,Germany,22.45,70.22,74.06,73.48,74.86,73.64
Health physicist,IT,Increasing,Low,63207.57,Master’s Degree,16,7613,8247,22.5,86.79,Germany,21.77,83.08,79.92,82.31,84.86,75.45
"Programmer, systems",Entertainment,Increasing,High,50550.97,High School,3,4940,239,23.39,74.24,Canada,64.36,61.78,74.95,64.53,75.07,76.25
Special effects artist,Retail,Decreasing,Moderate,55267.02,Associate Degree,14,3051,3111,52.16,89.28,USA,54.67,84.7,91.91,90.01,88.3,90.01
Animal technologist,Education,Decreasing,High,52437.32,High School,8,9648,8750,26.82,51.18,USA,64.55,50.82,49.79,51.82,54.76,54.34
"Optician, dispensing",Healthcare,Decreasing,High,56891.91,Master’s Degree,11,3926,3299,43.78,97.05,Germany,62.59,91.78,90.17,94.92,100,91.08
Teaching laboratory technician,Transportation,Decreasing,Low,80603.72,Associate Degree,8,4795,2387,3.17,90.93,Canada,38.89,86.53,87.56,85.24,90.03,87.81
Environmental education officer,Transportation,Increasing,Moderate,106845.85,Associate Degree,6,2829,6436,6.13,42.36,Australia,25.77,37.22,37.9,39.45,37.69,39.95
Theatre manager,Healthcare,Decreasing,Moderate,52516.2,High School,3,1867,6856,92.38,67.64,Australia,39.2,64.08,65.12,65.87,68.53,63.17
Astronomer,Entertainment,Increasing,High,34082.95,Bachelor’s Degree,14,6600,6032,38.46,15.72,Canada,29.76,8.69,8.69,9.78,13.81,14.58
Product manager,Retail,Increasing,High,114653.7,High School,0,6168,9423,84.57,37.52,India,56.71,30.25,31.28,30.57,37.94,35.99
Manufacturing engineer,Transportation,Increasing,Moderate,64860.39,PhD,19,4534,8964,83.41,69.54,Canada,68.88,58.74,65.79,63.81,65.37,72.08
Sports therapist,Education,Decreasing,High,78301.3,Master’s Degree,6,7747,4430,66.35,50.37,India,34.24,46.4,52.77,57.46,53.21,46.53
"Engineer, manufacturing systems",Retail,Decreasing,High,47885.9,PhD,4,5977,1192,32.19,67.99,China,41.27,67.11,61.28,66.25,70.54,62.85
Energy manager,Healthcare,Decreasing,High,70620.15,Master’s Degree,18,723,881,73.37,67.15,Canada,49.63,63.68,64.44,61.75,59.21,68.89
Artist,Healthcare,Decreasing,Moderate,56977.52,High School,9,248,9056,54.62,70.3,India,46.77,62.19,70.25,67.81,73.94,65.62
Financial adviser,Finance,Increasing,High,30185.51,Master’s Degree,1,2693,5013,78.31,27.65,Brazil,49.73,19.67,26.29,21.32,28.35,24.26
"Librarian, academic",Retail,Increasing,Low,88158.4,Master’s Degree,4,8794,4778,19.27,31.28,India,67.53,28.52,26.68,30.66,26.94,29.34
Trading standards officer,Finance,Decreasing,Low,83658.61,High School,12,9725,3282,98.05,22.94,Germany,39.85,17.63,18.02,23.63,19.57,22.37
Web designer,Healthcare,Increasing,Moderate,95592.38,Bachelor’s Degree,13,6219,5300,86.51,25.6,India,79.29,26.81,23.77,18.16,29,27.53
Media buyer,Manufacturing,Decreasing,Moderate,40242.98,Bachelor’s Degree,13,2769,2348,66.36,21.53,India,75.83,20.29,21.22,18.93,16.77,22.85
"Designer, furniture",Transportation,Decreasing,Moderate,110824.63,High School,3,6784,6620,91.58,95.56,Canada,59.12,83.12,85.32,92.53,98.09,91.59
Senior tax professional/tax inspector,Finance,Increasing,High,101228.25,High School,13,3855,9350,67.9,89.38,India,69.64,79.04,93.82,88.58,88.14,94.01
Chief Marketing Officer,IT,Increasing,Moderate,43264.91,Master’s Degree,6,1469,8478,88.66,33.85,UK,41.81,27.87,25.04,26.32,30.47,31.64
Surgeon,Transportation,Decreasing,Moderate,116119.78,Master’s Degree,8,9257,2943,14.57,16.62,Brazil,73.9,15.83,12.39,17.11,15.38,17.28
Police officer,Retail,Increasing,Moderate,108327.36,Master’s Degree,4,3538,8006,58.59,25.72,Canada,21.01,14.53,27.5,21.3,26.45,21.23
Advertising account planner,Transportation,Decreasing,Low,63608.99,Bachelor’s Degree,0,730,2522,13.42,17.96,Australia,27.3,17.85,11.97,13.85,15.62,16.47
Veterinary surgeon,Entertainment,Increasing,High,36676.24,Bachelor’s Degree,10,9520,9722,0.85,4.78,UK,50.62,0,0.2,0,2.72,6.3
"Producer, television/film/video",Healthcare,Increasing,Low,129322.66,PhD,15,5541,9618,76.29,99.73,USA,44.11,92.83,97.57,100,91.19,93.49
Museum/gallery curator,Healthcare,Decreasing,Low,38469.8,Associate Degree,2,6010,7536,89.43,13.51,India,71.92,12.43,11.18,12.67,13.46,9.9
Pension scheme manager,Education,Increasing,Moderate,86987.62,High School,16,6119,6410,55.24,10.63,UK,67,11.3,8.44,9,9.28,11.14
Sport and exercise psychologist,Finance,Increasing,Moderate,79400,Master’s Degree,20,4363,9976,22.11,11.86,India,21.25,7.26,1.64,9.75,7.1,9.67
Oceanographer,Finance,Increasing,Moderate,113717.55,Master’s Degree,16,4165,6824,22.97,19.42,Australia,49.93,11.17,13.46,15.07,16.54,14.75
Records manager,Education,Increasing,High,94206.73,Master’s Degree,6,2151,6176,43.7,31.14,Canada,69.55,27.91,29.66,28.96,28.43,28.18
"Administrator, education",IT,Increasing,Low,50843.6,Bachelor’s Degree,17,4993,3346,91.93,93.85,Brazil,64.98,76.94,91.77,91.82,89.92,85.52
Control and instrumentation engineer,Retail,Increasing,Moderate,51366.75,PhD,9,4626,8057,19.36,41.15,Australia,55.42,36.08,35.96,42.1,42.41,38.06
Animal technologist,Entertainment,Increasing,Moderate,62847.41,PhD,4,679,2746,81.73,59.5,Germany,74.86,56.9,51.83,60.67,58.1,65.32
"Engineer, manufacturing",Retail,Increasing,High,66136.53,Bachelor’s Degree,14,9118,3790,14.04,26.68,China,34.99,19.21,24.86,26.53,23.26,22.35
Chemical engineer,Healthcare,Decreasing,Low,63271.86,Master’s Degree,17,4114,7388,70.21,19.86,Brazil,54.1,19.33,16.1,17.86,17.3,23.43
"Exhibitions officer, museum/gallery",Healthcare,Decreasing,Low,138061.44,High School,1,6182,4222,13.62,74.09,USA,60.97,72.16,73.69,72.82,70.38,75.87
Chief Technology Officer,Transportation,Increasing,Low,60624.05,PhD,2,7196,2705,86.27,35.97,USA,61.98,34.85,31.55,34.09,37.27,32.23
Network engineer,Education,Increasing,Moderate,52868.24,Associate Degree,15,4324,3107,61.16,26.63,Germany,72.3,23.74,26.52,22.78,25.92,24.89
Early years teacher,Retail,Increasing,Low,88686.54,High School,19,7070,7067,32.89,52.49,Brazil,40.7,47.15,47.82,46.47,44.38,48.91
Hydrologist,Retail,Increasing,Low,41481.95,High School,20,1345,7082,95.83,89.74,UK,32.74,88.3,83.1,85.95,82.69,89.68
Paramedic,Finance,Decreasing,High,136253.17,Bachelor’s Degree,3,2931,9631,60.99,90.87,India,50.73,90.4,87,85.08,89.48,94.29
Theatre director,Manufacturing,Increasing,High,144639.82,PhD,15,8270,7707,0.2,81.33,Brazil,67.82,80.07,81.6,79.16,86.27,78.89
Solicitor,Healthcare,Decreasing,Moderate,112448.52,Master’s Degree,6,3125,8359,42.16,22.06,USA,52.46,22.19,21.19,18.85,17.12,21.9
Corporate investment banker,Education,Decreasing,High,131983.75,Bachelor’s Degree,8,4653,8103,91.84,8.52,India,69.66,2.43,6.3,4.86,8.63,5.53
Secretary/administrator,Manufacturing,Decreasing,Moderate,61005.67,Bachelor’s Degree,6,4260,627,84.51,98.17,Germany,56.35,100,96.17,88.11,100,90.22
Associate Professor,IT,Increasing,Low,81732.58,PhD,5,941,5347,60.37,65.42,Germany,32.46,62.2,58.38,70.11,63.08,56.89
Food technologist,Education,Decreasing,High,141179.16,Master’s Degree,0,1703,6523,55.14,29.97,China,55.55,26.28,24.98,31.51,29.43,28.29
"Buyer, retail",Education,Increasing,Low,45094.52,PhD,15,7430,9679,59.5,58.67,UK,56.01,58.28,60.08,60.19,50.68,62.77
Local government officer,Entertainment,Decreasing,High,50135.21,High School,12,2949,582,63.18,78.86,UK,52.4,65.3,77.87,72.64,74.94,76.45
Food technologist,IT,Increasing,High,92064.96,Master’s Degree,1,385,7554,43.44,19.99,Canada,34.69,10.45,14.84,16.87,16.49,19.79
Careers adviser,Entertainment,Decreasing,High,68755.87,High School,6,2280,4796,37.92,57.83,Germany,49.67,50.59,51.49,56.73,58.59,54.62
Pharmacologist,Transportation,Decreasing,High,37621.07,PhD,2,6408,8152,12.53,23.97,Australia,74.41,21.09,21.7,16.15,19.5,21.26
Government social research officer,IT,Increasing,High,33963.36,Master’s Degree,8,6614,6690,27.05,49.5,Canada,31,38.66,38.45,43.18,46.22,52.71
"Teacher, adult education",Transportation,Increasing,High,79509.03,Master’s Degree,8,2338,4616,22.61,96.69,Canada,25.61,94.93,100,87.08,94.66,94.76
Purchasing manager,Transportation,Decreasing,Low,48819.15,High School,3,6215,1655,34.64,16.56,India,59.37,12.81,12.61,13.57,14.37,17.32
Historic buildings inspector/conservation officer,Education,Decreasing,Low,66264.58,Associate Degree,20,9585,892,54.46,86.24,China,46.75,85.83,82.08,89.03,79.19,89.21
"Surveyor, commercial/residential",Manufacturing,Decreasing,High,115265.8,High School,13,8251,8375,88.99,70.99,Australia,40.97,67.59,63.16,68.66,65.07,71.6
"Psychologist, sport and exercise",Manufacturing,Decreasing,Moderate,85576.5,Bachelor’s Degree,1,8740,2449,48.26,39.99,India,62.64,31.69,38.06,31.92,39.66,35.93
"Surveyor, mining",Finance,Decreasing,High,133877.84,High School,6,8550,9739,3.67,95.31,China,29.77,88.39,93.32,85.43,80.8,87.53
Charity officer,Finance,Decreasing,High,48285.25,Master’s Degree,20,6472,107,56.13,39.99,India,30.23,30.8,30.45,30.26,33.86,41.56
Environmental health practitioner,Retail,Decreasing,Moderate,137470.92,Bachelor’s Degree,5,4025,4539,44.82,21.37,India,71.33,19.98,14.66,19.75,20.49,18.38
"Administrator, education",Healthcare,Increasing,Low,140680.96,Associate Degree,20,8199,6835,41.19,17.75,USA,69.44,20.3,15.73,16.61,13.22,18.5
"Designer, industrial/product",IT,Decreasing,High,59233.68,Bachelor’s Degree,0,607,9822,47.65,86.79,Germany,24.1,69.44,79.68,78.64,80.04,81.93
"Production designer, theatre/television/film",IT,Decreasing,Low,114803.81,Associate Degree,13,8959,9759,74.02,31.15,Brazil,66.72,29.27,29.23,30.04,28.89,27.82
Architectural technologist,Transportation,Increasing,Low,147138.14,High School,18,6057,5625,38.59,55.79,Australia,51.85,50.41,50.81,54.73,55.39,55.13
Sales executive,Entertainment,Decreasing,Moderate,118654.12,High School,9,7931,1882,64.43,34.74,India,24.89,32.13,30.05,32.95,29.54,38.67
Financial planner,Manufacturing,Increasing,Low,59765.55,High School,2,4753,6885,33.03,74.79,Australia,30.47,75.64,69.6,76.45,76.83,67.93
Land,Finance,Decreasing,High,71742.5,Associate Degree,9,7072,432,53.81,75.72,China,64.23,71.75,65.49,73.33,79.29,75.52
Community arts worker,IT,Decreasing,High,112203.76,Associate Degree,3,9875,3590,88.53,84.52,USA,33.41,87.11,80.01,78.22,79.99,84.18
Soil scientist,Entertainment,Decreasing,High,66155.86,PhD,6,4620,3474,60.46,38.01,UK,56.5,31.4,28.3,33.12,33.29,38.86
"Designer, multimedia",Entertainment,Decreasing,Moderate,90971.18,High School,2,8524,2954,27.57,35.04,India,39.64,28.15,32.13,32.35,32.26,32.39
Research scientist (medical),Healthcare,Increasing,High,68234.92,Bachelor’s Degree,16,4827,4355,95.05,15.96,Germany,38.63,12.24,12.98,12.1,13.89,14.61
Higher education careers adviser,Education,Decreasing,High,41739.81,PhD,17,450,6707,12.51,87.38,Canada,47.7,86.13,84.88,86.34,86.47,85.22
"Engineer, land",Finance,Increasing,Moderate,67492.1,High School,13,3429,1460,55.04,92.89,Brazil,69.71,84.64,93.51,85.88,97.66,98.97
Operational investment banker,Education,Increasing,Low,81955.01,PhD,19,3229,495,20,90.11,Australia,22.82,85.57,91.13,91.4,92.58,91.56
Health physicist,IT,Increasing,Low,34744.63,Associate Degree,11,1233,1864,73.22,32.37,Germany,61.54,24.73,31.79,33.38,28.96,29.49
Energy engineer,Entertainment,Decreasing,Low,126947.14,High School,20,5659,5042,4.33,75.96,Canada,27.8,64.8,74.99,72.95,70.12,75.87
Architect,Transportation,Increasing,Moderate,142966.64,Bachelor’s Degree,2,1904,8375,63.33,28.82,India,49.76,21.86,25.87,24.19,24.91,28.03
"Designer, graphic",Education,Decreasing,High,109269.34,PhD,12,1663,8511,78.12,52.74,Brazil,56.61,48.35,45.68,54.4,50.27,54.74
Video editor,Finance,Increasing,Low,71217.87,Master’s Degree,6,8380,1301,54.65,94.3,Brazil,77.87,91.33,82.78,94.04,90.95,92.47
Legal secretary,Retail,Increasing,Low,121414.97,PhD,0,4298,3449,66.82,7.97,USA,37.13,8.64,6.28,5.83,5.97,10.74
Control and instrumentation engineer,Finance,Increasing,High,33657.68,High School,4,3392,8782,23.95,13.26,India,76.02,5.44,8.96,9.23,10.45,13.64
"Surveyor, land/geomatics",Finance,Increasing,Low,34888.14,Bachelor’s Degree,18,8617,1410,79.84,80.28,Germany,57.89,77.03,76.85,79.79,74.13,81.24
"Surveyor, insurance",IT,Increasing,Low,82681.61,High School,16,7172,4087,7.62,99.18,China,39.49,94.47,92.75,97.62,94.28,94.33
"Therapist, art",Healthcare,Increasing,Low,98850.04,Master’s Degree,8,2541,9689,99.92,48.93,Australia,34.08,50.23,49.67,50.1,51.87,50.58
Chartered legal executive (England and Wales),Manufacturing,Decreasing,Low,130515.86,Bachelor’s Degree,6,837,7290,85.31,94.1,Canada,57.76,84.63,96.05,90.66,90.72,96.11
Hydrographic surveyor,Manufacturing,Increasing,Low,136571.79,PhD,17,4375,514,95.56,57.85,India,43.93,58.3,57.17,55.64,59.63,58.06
Community arts worker,Manufacturing,Increasing,High,124148.5,Associate Degree,0,2022,7370,75.73,16.26,Canada,76.72,11.86,10.11,10.59,13.52,13.25
Broadcast journalist,Manufacturing,Increasing,Moderate,119197.06,PhD,11,3926,996,11.82,68.18,USA,52.21,68.96,59.75,63.27,60.45,68.79
"Investment banker, operational",Education,Increasing,High,135791.06,Bachelor’s Degree,0,1285,5109,30.84,62.19,Australia,50.03,56.81,65.21,61.53,59.92,62.38
International aid/development worker,Retail,Increasing,Moderate,102669.52,Associate Degree,13,8591,8051,67.66,51.51,Germany,74.15,48.35,50.31,51.85,48.53,48.01
Outdoor activities/education manager,Transportation,Increasing,Low,56393.96,PhD,6,8689,6271,71.9,17.79,Brazil,70.97,15.06,18.49,18.28,20.27,20.39
Furniture designer,IT,Decreasing,High,117688.66,Associate Degree,11,5582,5019,18.54,57.91,UK,48.79,44.45,49.98,51.68,54.38,56.55
Tourist information centre manager,Education,Decreasing,Moderate,127276.6,High School,3,5356,3361,16.09,57.11,Germany,29.96,58.13,49.61,58.17,58.02,58.54
Chief Technology Officer,Retail,Increasing,High,101607.51,Master’s Degree,11,7942,8373,80.64,38.7,Brazil,71.09,31.26,35.64,33.83,37.07,37.11
"Designer, television/film set",Education,Increasing,Moderate,110413.21,Bachelor’s Degree,3,2871,2559,64.4,35.85,UK,29.12,31.44,29.6,36.56,33.64,34.8
Minerals surveyor,Finance,Increasing,High,104467.27,Bachelor’s Degree,6,1236,1265,31.42,15.31,UK,65.72,8.39,6.64,11.84,12.73,11.15
"Engineer, manufacturing systems",Entertainment,Increasing,Moderate,43036.62,Associate Degree,10,7460,9086,92.28,11.72,Germany,57.52,5.55,9.47,10.93,11.41,9.3
Health and safety adviser,Manufacturing,Increasing,Low,73789.19,High School,9,285,838,88.89,29.6,China,76.14,25.43,24.67,29.67,25.49,33.2
Telecommunications researcher,IT,Increasing,High,75136.54,PhD,4,2283,5605,78.79,30.62,Germany,73.54,20.72,22.1,23.61,25.05,28.61
"Designer, jewellery",Transportation,Decreasing,Low,116725.5,Associate Degree,9,4485,2258,45.68,1.98,USA,26.58,0,0.71,1.19,0.92,2.6
Furniture conservator/restorer,Healthcare,Decreasing,Low,145857.01,Bachelor’s Degree,8,4587,8239,21.26,57.66,Germany,55.89,52.82,52.38,57.9,56.38,57.47
"Surveyor, mining",Education,Decreasing,Moderate,106514.25,Associate Degree,6,4577,1426,23.46,18.92,Germany,50.19,14.27,17.03,15.07,20.16,18.32
Curator,Transportation,Increasing,Moderate,98155.91,Master’s Degree,11,3071,5017,34.96,97.33,Germany,32.48,98.52,94.11,91.01,98.79,91.32
Government social research officer,Finance,Decreasing,Low,104998.89,Master’s Degree,5,6216,1811,85.68,98.29,Brazil,68.02,92.77,94.17,85.66,100,99.85
Brewing technologist,Transportation,Increasing,High,94172.88,Bachelor’s Degree,10,5949,8208,83.08,65.64,Australia,29.57,54.19,61.55,57.85,64.12,61.15
"Therapist, drama",Entertainment,Increasing,Moderate,108738.49,High School,18,8475,424,78.44,84.02,Germany,33.78,79.3,81.64,82.05,80.74,80.35
Commercial/residential surveyor,Healthcare,Decreasing,Low,65333.16,Bachelor’s Degree,17,3759,4065,62.96,44.22,China,62.49,41.34,45.4,44.31,45.54,43.71
"Engineer, petroleum",Finance,Increasing,Low,85280.18,Associate Degree,0,6440,4721,29.28,92.16,India,42.29,92.32,95.15,83.84,85.97,95.92
Information systems manager,Finance,Decreasing,Low,77704.69,Master’s Degree,15,641,510,95.94,25.47,India,24.4,25.18,19.6,19.87,22.08,23.53
Sales promotion account executive,Healthcare,Increasing,Low,149312.73,PhD,20,1508,3530,47.93,3.96,Australia,49.32,2.11,3.53,2.4,5.92,3.46
Textile designer,Retail,Decreasing,Moderate,44830.03,PhD,20,5411,6093,72.31,88.59,Australia,32.81,81.23,81.02,84.09,87.58,87.17
"Engineer, broadcasting (operations)",Healthcare,Increasing,Low,56284.08,PhD,15,3578,5745,74.31,14.85,Canada,79.98,11.99,12.56,12.06,14.45,18.31
Exercise physiologist,Retail,Decreasing,Moderate,73718.99,Master’s Degree,1,1310,706,23.8,41.15,USA,79.54,35.8,38.58,37.13,44,38.68
IT sales professional,Entertainment,Decreasing,Moderate,137502.63,Master’s Degree,8,4256,1988,60.47,89.73,India,68.32,83.02,79.06,78.88,86.82,86.4
Hospital pharmacist,Education,Decreasing,Low,67088.27,PhD,9,6979,1172,54.14,23.08,Australia,52.02,22.43,22.83,22.46,23.44,24.08
Hospital pharmacist,Manufacturing,Decreasing,Moderate,120705.15,Master’s Degree,12,3185,6727,28.9,29.9,Germany,37.2,26.9,25.33,25.54,27.68,28.15
Graphic designer,Healthcare,Increasing,Low,127926.65,Bachelor’s Degree,13,1077,6980,89.27,96.55,Brazil,62.28,95.24,99.27,93.84,96.51,100
Financial planner,Entertainment,Increasing,Low,80118.56,High School,14,4153,6680,12.93,79.6,USA,71.22,77.38,78.76,83.95,77.41,81.41
Curator,Finance,Decreasing,High,127741.51,Associate Degree,17,9010,1605,43.06,87.78,Canada,76.09,76.45,80.05,81.63,86.61,94.82
Educational psychologist,Entertainment,Increasing,Low,109025.5,Associate Degree,3,4054,3184,49.45,99.27,China,51.6,92.25,100,100,98.91,99.79
Audiological scientist,Entertainment,Decreasing,Moderate,126971.74,High School,1,3311,3493,29.71,36.81,UK,67.41,33.68,32.88,32.69,37.73,35.46
Charity officer,Manufacturing,Decreasing,High,140911.63,High School,15,4570,6972,37.23,60.88,China,47.75,56.13,53.39,57.53,54.06,60.32
IT consultant,Manufacturing,Decreasing,Moderate,54950.14,Master’s Degree,0,7539,4755,60.31,68.43,Brazil,41.08,59.36,59.04,60.87,68.45,64.19
Field seismologist,Entertainment,Increasing,High,108577.79,PhD,9,7231,2351,25.89,59.9,China,27.11,52.98,52.6,57.41,51.48,58.43
Museum/gallery curator,Retail,Increasing,High,133809.71,High School,17,2765,6391,43.1,75.61,China,33.69,68.21,73.7,74.39,65.2,78.86
Hydrogeologist,Manufacturing,Increasing,Low,44841.96,Bachelor’s Degree,3,2331,4420,79.7,84.54,USA,57.05,85.91,84.15,77.24,85.48,86.8
Veterinary surgeon,Manufacturing,Decreasing,Moderate,40867.37,High School,4,4002,6934,25.81,64.41,Brazil,48.81,59.32,64.45,67.8,61.46,60.55
Financial manager,IT,Increasing,Moderate,81466.08,PhD,7,7482,3549,37.43,4.83,China,65.56,0,0,0.31,0.25,5.24
Fitness centre manager,Entertainment,Increasing,Low,136872.09,High School,6,3554,2803,89.87,30.33,India,75.57,26.42,28.99,29.78,28.49,31.13
"Development worker, community",IT,Decreasing,High,145944.98,Bachelor’s Degree,7,7503,9034,45.3,35.59,Australia,56.35,30.29,30.14,25.58,31.24,31.86
Travel agency manager,Finance,Decreasing,Moderate,98014.9,High School,0,3641,3887,36.9,60.34,Australia,43.17,58.32,55.53,56.25,52.98,69.27
Medical technical officer,Entertainment,Decreasing,Moderate,148537.43,PhD,2,4343,3844,51.74,72.26,Australia,52.72,67.66,67.7,63.71,70.9,71.06
"Production assistant, radio",Manufacturing,Increasing,Low,102777.97,Bachelor’s Degree,8,8707,9154,94.17,35.83,Brazil,38.97,33.36,30.01,29.86,39.07,32.26
English as a second language teacher,Transportation,Increasing,Low,71494.91,Bachelor’s Degree,2,6783,9961,53.85,59.32,Canada,21.77,57.54,55.6,60.48,58.55,58.92
"Research officer, government",Healthcare,Increasing,High,137712.48,Master’s Degree,15,7245,8873,83.13,33.61,Australia,49.39,30.07,28.56,28.36,31.44,28.99
Production engineer,Transportation,Increasing,Low,136192.55,Master’s Degree,13,1469,6733,32.1,21.69,China,44.09,13.63,19.2,19,22.39,22.81
"Designer, jewellery",Healthcare,Increasing,Moderate,84498.6,Bachelor’s Degree,11,2669,3373,95.99,64.35,India,46.14,63.12,63.67,59.83,64.77,61.65
Air broker,Retail,Decreasing,Low,66530.47,PhD,19,3171,1661,94.36,48.29,Canada,32.17,46.86,53.89,39.31,49.2,47.87
Lawyer,Retail,Increasing,Low,33259.29,Associate Degree,19,9263,9326,93.47,12.93,Brazil,65.09,8.61,11.82,8.66,15.55,14.3
Product designer,Manufacturing,Decreasing,Moderate,54078.11,Bachelor’s Degree,19,8198,1075,58.92,9.15,Canada,70.03,4.17,2.53,5.64,10.09,11.76
